"Gen_1"	"Gen_2"	"Gen_3"	"Gen_4"	"Gen_5"	"Gen_6"	"Gen_7"	"Gen_8"	"Gen_9"	"Gen_10"
"45"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"46"	NA	53.48	232.46	NA	134.76	NA	NA	NA	NA	NA
"47"	NA	17.78	55.59	168.45	NA	NA	NA	NA	NA	NA
"48"	NA	NA	NA	68.67	NA	NA	86.13	NA	NA	NA
"49"	NA	91.15	NA	NA	71.39	NA	NA	NA	NA	NA
"50"	331.83	NA	154.61	193.3	66.85	NA	NA	NA	NA	NA
"51"	29.09	170.73	NA	NA	NA	121.61	NA	NA	NA	NA
"52"	140.32	NA	39.09	NA	NA	NA	NA	NA	NA	NA
"53"	NA	196.81	NA	16.57	NA	NA	NA	NA	NA	NA
"54"	NA	NA	NA	NA	NA	108.66	NA	NA	NA	NA
"55"	224.75	NA	97.68	NA	NA	NA	NA	NA	NA	NA
"56"	NA	205.85	118.24	208.63	NA	NA	72.21	NA	NA	NA
"57"	227.31	291.32	NA	NA	100.95	NA	NA	NA	NA	NA
"58"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	NA	154.52	NA	NA	NA	NA	NA	65.54	NA	NA
"60"	NA	NA	NA	173.36	NA	NA	NA	NA	NA	NA
"61"	171.2	242.58	46.27	NA	NA	NA	110.03	NA	NA	NA
"62"	NA	NA	131.41	NA	114.33	NA	NA	NA	NA	NA
"63"	11.9	150.21	140.79	NA	NA	NA	NA	NA	NA	NA
"64"	202.24	181.68	70.8	NA	171.7	NA	57.85	NA	NA	NA
"65"	16.9	NA	215.48	NA	NA	NA	NA	NA	NA	NA
"66"	NA	NA	NA	214.58	NA	NA	NA	NA	NA	NA
"67"	41.55	13.06	NA	121.21	NA	64.01	NA	NA	NA	NA
"68"	NA	NA	152.64	NA	NA	NA	NA	NA	NA	NA
"69"	359.38	164.7	6	170.01	NA	NA	NA	NA	NA	NA
"70"	43.35	NA	221.77	NA	NA	NA	NA	NA	NA	NA
"71"	267.18	42.99	NA	NA	NA	NA	NA	NA	NA	NA
"72"	NA	NA	NA	174.84	NA	NA	NA	NA	NA	NA
"73"	NA	235.43	NA	81.92	NA	NA	NA	NA	31.51	NA
"74"	NA	NA	6.94	NA	NA	NA	39.48	NA	NA	NA
"75"	NA	NA	182.88	NA	NA	NA	91.83	66.97	NA	NA
"76"	338.94	234.14	NA	NA	NA	NA	NA	NA	NA	NA
"77"	31.48	273.28	NA	NA	NA	NA	NA	NA	NA	NA
"78"	300.87	90.3	NA	39.97	NA	NA	NA	NA	NA	NA
"79"	NA	197.14	NA	NA	NA	NA	NA	NA	52.47	NA
"80"	NA	169.04	109.76	NA	NA	NA	NA	NA	NA	NA
"81"	104.31	NA	NA	NA	NA	NA	39.12	NA	NA	NA
"82"	NA	NA	154.06	158.86	NA	NA	NA	NA	NA	NA
"83"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"84"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"85"	NA	41.51	NA	174.99	NA	NA	NA	NA	NA	NA
"86"	NA	183.55	NA	128.15	NA	NA	NA	NA	NA	NA
"87"	141.72	NA	NA	NA	NA	NA	NA	NA	NA	NA
"88"	NA	73.84	150.73	NA	167.32	NA	NA	NA	NA	NA
"89"	160.71	NA	NA	98.05	NA	NA	NA	NA	NA	NA
"90"	NA	NA	NA	NA	138.04	NA	NA	NA	NA	NA
"91"	57.98	231.39	211.85	172.96	NA	NA	NA	NA	NA	NA
"92"	156.71	120.84	127.52	131.85	NA	NA	NA	NA	NA	NA
"93"	NA	NA	NA	163.99	14.54	NA	NA	NA	NA	NA
"94"	358.74	NA	NA	NA	NA	NA	NA	NA	NA	NA
"95"	241.51	25.12	146.95	NA	NA	NA	NA	NA	NA	NA
"96"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	236.43	NA	138.59	NA	NA	NA	NA	NA	NA	NA
"98"	208.58	194.85	NA	NA	NA	35.53	NA	NA	NA	NA
"99"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100"	NA	NA	NA	NA	163.05	NA	NA	NA	NA	NA
